"Номер по каталогу","Наименование","Ед. изм.","Цена руб","Количество","Сумма, руб"
"406-1005186-03","Полушайба упорного подшипника к/в 406 верхняя","шт","103.00","","0.00"
"406-1005187-02","Полушайба упорного подшипника к/в 406 нижняя","шт","103.00","","0.00"
"3302-2801080-02","Поперечина 3302 №1","шт","1,354.00","","0.00"
"3302-2801100","Поперечина 3302 №2 рамы в сборе","шт","1,475.00","","0.00"
"3302-2801172","Поперечина 3302 №4","шт","2,566.00","","0.00"
"3302-2801184","Поперечина 3302 №5","шт","1,380.00","","0.00"
"3302-2801198     ","Поперечина 3302 №6","шт","1,400.00","","0.00"
"3302-10-2801380     ","Поперечина 3302 двигателя","шт","1,361.00","","0.00"
"3302-42-2801380","Поперечина 3302 двигателя ГАЗ-560, дв 4216","шт","1,623.00","","0.00"
"3302-30-2801380","Поперечина 3302 двигателя Камминз","шт","1,427.00","","0.00"
"3302-2801380-10","Поперечина 3302 двигателя Камминз (под новые подушки) (ГАЗ)","шт","1,998.00","","0.00"
"3302-1001159","Поперечина 3302 КПП (траверса)","шт","662.00","","0.00"
"3302-30-5001310","Поперечина 3302-02 Фермер №3","шт","941.00","","0.00"
"3310-40-1001154","Поперечина 3310 Валдай двигателя","шт","1,213.00","","0.00"
"33081-2801080","Поперечина №1 3308 (ГАЗ)","шт","2,858.00","","0.00"
"2123-2801080","Поперечина №1 Газель Next","шт","1,156.00","","0.00"
"2123-2801155","Поперечина Газель Next №3","шт","652.00","","0.00"
"4111-2801380     ","Поперечина ГАЗон Next двигателя","шт","3,363.00","","0.00"
"2705-5601420","Поперечина задка 2705 (юбка задняя)","шт","1,860.00","","0.00"
"2752-5601410","Поперечина задка 2752 верхняя","шт","2,350.00","","0.00"
"3310-2915536","Поперечина крепления амортизатора с кронштейном ""Валдай"" ГАЗ","шт","2,797.00","","0.00"
"53-01-2801248-01","Поперечина подвесного подшипника 3307,3309 (ГАЗ)","шт","974.00","","0.00"
"3302-8202200","Поручень 3302","шт","99.00","","0.00"
"23-8202200","Поручень 3302,3310 Валдай черный (ГАЗ)","шт","96.00","","0.00"
"2123-8202200","Поручень Газель Next","шт","91.00","","0.00"
"КМЗ 421-1004018-23-70","Поршень (100,0) (А) УАЗ 100л.с./3302 (к-т 4шт) (КМЗ)","шт","3,925.00","","0.00"
"4216-40-1004018","Поршень (100,0) (В и Г) УАЗ 100л.с./3302 (к-т 4шт) газ. оборуд. низкое кольцо (42164.1004018) (УМЗ)","шт","3,071.00","","0.00"
"421-1004013-881","Поршень (100,5) (А) УАЗ (4218,421,4123,4215,4216) с кольцами (к-т 4шт) (ДМ.421.1004013-АР) (G-part)","шт","4,139.00","","0.00"
"КМЗ 421-1004018-23-Р-70","Поршень (100,5) (А) УАЗ 100л.с./3302 (к-т 4шт) (КМЗ)","шт","3,925.00","","0.00"
"4216-40-1004018-100","Поршень (100,5) (В) УАЗ 100л.с./3302 (к-т 4шт) газ. оборуд. низкое кольцо (42164-1004018-Р) (УМЗ)","шт","2,890.00","","0.00"
"421-1004018-100","Поршень (100,5) (В) УАЗ 100л.с./3302 (к-т 4шт) газовое оборудование (421.1004018Р) (УМЗ)","шт","2,988.00","","0.00"
"4216-40-1004017-103","Поршень (100,5) УАЗ 100л.с./3302 (УМЗ) (к-т 4шт, без колец) (42164.1004017-Р3) низкое кольцо","шт","2,985.00","","0.00"
"4216-1004013-882","Поршень (101,0) (А) УАЗ (4213,4216 Е-3) с кольцами (к-т 4шт) (ДМ.4216.1004013-БР) (G-part)","шт","4,058.00","","0.00"
"421-1004013-882","Поршень (101,0) (А) УАЗ (4218,421,4123,4215,4216) с кольцами (к-т 4шт) (ДМ.421.1004013-БР) (G-part)","шт","4,126.00","","0.00"
"417-1004017","Поршень (92,0) (А) УАЗ (90л.с) (к-т 4шт) (УМЗ)","шт","1,929.00","","0.00"
"417-1004017-10","Поршень (92,0) (А) УАЗ дв. 4178 (укорочен. поршень) (к-т 4шт) (УМЗ)","компл","1,277.00","","0.00"
"417-1004017-100","Поршень (92,5) (В) УАЗ (90л.с) (к-т 4шт) (УМЗ)","компл","1,277.00","","0.00"
"КМЗ 260-1004021-Ж","Поршень 3309,3310 Валдай Евро-2 палец 38 мм (к-т 4шт) (КМЗ)","шт","1,281.00","","0.00"
"53-1004014-881     ","Поршень 402,511 дв.(92,5) (А) без колец (к-т 4шт) (ДМ.53.1004014-АР)","шт","2,568.00","","0.00"
"53-1004013-881","Поршень 402,511 дв.(92,5) (А) ГАЗ,УАЗ (ГАЗ) (к-т 4 шт) (53.1004013-АР) с кольцами","шт","3,480.00","","0.00"
"405-4680000-26","Поршень 405 дв.(95,5) (В) ЗМЗ (к-т 1цил) с антифр.покр.и кольцами **ПРОФ СЕРИЯ**405.1004018-102-03","шт","1,688.00","","0.00"
"405-1004018-102","Поршень 405 дв.(96,0) (А) с антифр.покр.и кольцами (к-т 1цил) (405.1004018-102-АР/01) (ЗМЗ)","шт","1,366.00","","0.00"
"405-1004014-10В","Поршень 405 дв.(96,0) (В) под узкие кольца (к-т 1 цил) (405.1004014-10-АР/02) (ЗМЗ)","шт","974.00","","0.00"
"405-1004014-15Г","Поршень 405 дв.(96,0) (Г) (к-т 1 цил) (405-1004014-34) (ЗМЗ)","шт","1,410.00","","0.00"
"405-1004014-15Д","Поршень 405 дв.(96,0) (Д) (к-т 1 цил) (405.1004014-01-АР/05) (ЗМЗ)","шт","735.00","","0.00"
"405-1004014-10Е     ","Поршень 405 дв.(96,0) (Е) под узкие кольца (к-т 1 цил) (405.1004014-10-АР/05) (ЗМЗ)","шт","974.00","","0.00"
"405-1004014-10С","Поршень 405 дв.(96,0) (С) под узкие кольца (к-т 1 цил) (405.1004014-10-АР/03) (ЗМЗ)","шт","974.00","","0.00"
"405-1004014-882     ","Поршень 405 дв.(96,5) (В) без колец (G-part) (к-т 4шт) БР (ДМ.405.1004014-БР)","компл","2,120.00","","0.00"
"405-24-1004018-03","Поршень 40524,40525 дв.(95,5) (А) ЕВРО-3 с кольцами (к-т 1цил) (ЗМЗ)","шт","1,508.00","","0.00"
"405-24-1004013-88","Поршень 40524,40525 дв.(95,5) (А) ЕВРО-3 с кольцами (к-т 4шт) (ГАЗ)","компл","3,406.00","","0.00"
"405-24-1004018-04","Поршень 40524,40525 дв.(95,5) (Б) ЕВРО-3 с кольцами (к-т 4шт) (40524.1004018-10-02) (ЗМЗ)","шт","1,590.00","","0.00"
"40524-1004018-05","Поршень 40524,40525 дв.(95,5) (В) ЕВРО-3 с кольцами (к-т 4шт) (ЗМЗ)","шт","1,584.00","","0.00"
"405-24-1004018-06","Поршень 40524,40525 дв.(96,0) (А) ЕВРО-3 с кольцами (к-т 1 цил) (40524-4680000-09) (ЗМЗ)","шт","1,615.00","","0.00"
"405-24-1004018-07","Поршень 40524,40525 дв.(96,0) (Б) ЕВРО-3 с кольцами (к-т 1 цил) (ЗМЗ)","шт","1,615.00","","0.00"
"КМЗ 406-1004018","Поршень 406 (92,0) (Б) без колец (к-т 4шт) (КМЗ)","шт","3,548.00","","0.00"
"КМЗ 406-1004018-АР","Поршень 406 (92,0) (Г) без колец (к-т 4шт) (КМЗ) (1БР)","шт","3,548.00","","0.00"
"406-1004014-88","Поршень 406 дв.(92,0) (В) без колец, с пальцами (ГАЗ) (к-т 4шт) (ДМ.406.1004014)","шт","2,200.00","","0.00"
"5258754 / 2881748","Поршень Cummins ISF3.8 (без колец) / STD","шт","2,500.00","","0.00"
"5344-30-1004012-10","Поршень в сборе дв.ямз-53441(с кольцами и пальцем) в/з 5340.1004013-10 ГАЗ","шт","4,384.00","","0.00"
"274-1004014-881","Поршень дв.274 (97,0) (А) без колец (к-т 4шт) (ДМ.274.1004014-АР) (Самара Трейдинг Компани/G-part)","шт","2,791.00","","0.00"
"274-1004014-88","Поршень дв.УМЗ-274 (96,5) (В) без колец (к-т 4шт) (ДМ.274.1004014) (G-part)","шт","2,962.00","","0.00"
"274-1004012","Поршень дв.УМЗ-274 с кольцами (1 цил) (96,5)","шт","1,602.00","","0.00"
"А29.05.100","Поршень компрессора ПАЗ в сб. (палец, шатун)","шт","857.00","","0.00"
"245-1000108-С-70","Поршневая гр 245 дв. ""Дальнобойщик"" ЭКСПЕРТ (палец 38, колец 4, отверстие малое по центру 28)","шт","3,514.00","","0.00"
"245-1000108-Б","Поршневая гр 245 дв. Евро-3 ""Грузовичок"" (п/палец D=42мм) (1 цил) (Мотордеталь Кострома)","шт","4,440.00","","0.00"
"245-1000108-Б","Поршневая гр 245 дв. Евро-3 ""Дальнобойщик"" ПРЕМИУМ (палец 42,колец 3,отверстие большое смещен.50-64)","шт","3,281.00","","0.00"
"260-1000108-С","Поршневая гр 260 дв. ""Дальнобойщик"" ПРЕМИУМ (палец 38, колец 3, отверстие малое по центру 28)","шт","3,834.00","","0.00"
"260-1000108-С-70","Поршневая гр 260 дв. ""Дальнобойщик"" ЭКСПЕРТ (палец 38, колец 3, отверстие малое по центру 28)","шт","3,586.00","","0.00"
"260-1000108-А-70","Поршневая гр 260 дв. Евро-2 ""Дальнобойщик"" ЭКСПЕРТ (палец 38, колец 3, отверстие большое со смещ 45)","шт","3,847.00","","0.00"
"511-1000110-50","Поршневая гр 53,3307 (92,0) 511,523 дв. без колец (1 цил) ЗМЗ 511.1000110-50","шт","1,707.00","","0.00"
"511-1000105-50","Поршневая гр 53,3307 (92,0) 511,523 дв. с кольцами (1 цил) ЗМЗ 511.1000105-50","шт","1,878.00","","0.00"
"402-10-1000105-50","Поршневая гр Волга,3302,УАЗ (92,0) (А) с кольцами (4 цил) (ЗМЗ)","шт","8,224.00","","0.00"
"КМЗ 24-1000105-20","Поршневая гр Волга,3302,УАЗ (92,0) (Б) без колец (4 цил) (КМЗ)","шт","5,781.00","","0.00"
"523-1000105-21","Поршневая гр ПАЗ,3308 (92,0) (А) с кольцами (1 цил) ЗМЗ 523.1000105-52-01","шт","2,119.00","","0.00"
"523-1000113-88","Поршневая гр ПАЗ,3308 (92,0) (А) с кольцами (4 цил) G-part (ДМ.523.1000113)","шт","7,515.00","","0.00"
"","Предохранители 8А-16А (10шт) пластм","компл","15.00","","0.00"
"","Предохранители цилиндрич. керамич. GOETZE","шт","25.00","","0.00"
"111-3722-200","Предохранитель 30/60 (2 шт)","шт","80.00","","0.00"
"","Предохранитель 5А-30А (10шт.) блистер","шт","32.00","","0.00"
"AFU-S-03","Предохранитель 5А-30А плоский (10шт) (AFU-S-03) (AIRLINE)","шт","64.00","","0.00"
"AFU-M-02","Предохранитель 5А-30А плоский Mini (10шт) (AFU-M-02) (AIRLINE)","шт","60.00","","0.00"
"35-3722-02","Предохранитель плоский 10А (АВАР)","шт","7.00","","0.00"
"35-3722-03","Предохранитель плоский 15А (АВАР)","шт","7.00","","0.00"
"20А","Предохранитель плоский 20А «VETTLER»","шт","6.00","","0.00"
"35-3722-05","Предохранитель плоский 25А (АВАР)","шт","7.00","","0.00"
"0000-0-000030А-00","Предохранитель плоский 30А «VETTLER»","шт","8.00","","0.00"
"35-3722-06","Предохранитель плоский 30А (АВАР)","шт","6.00","","0.00"
"40А","Предохранитель плоский 40А «VETTLER»","шт","6.00","","0.00"
"5А","Предохранитель плоский 5А «VETTLER»","шт","6.00","","0.00"
"7.5А","Предохранитель плоский 7,5А ""VETTLER""","шт","6.00","","0.00"
"35-3722-01","Предохранитель плоский 7,5А (АВАР)","шт","7.00","","0.00"
"469-171-900-04","Предохранитель плоский 90А (АВАР)","шт","33.00","","0.00"
"10А","Предохранитель плоский Mini 10А ""VETTLER""","шт","6.00","","0.00"
"15А","Предохранитель плоский Mini 15А ""VETTLER""","шт","6.00","","0.00"
"20А","Предохранитель плоский Mini 20А ""VETTLER""","шт","6.00","","0.00"
"25А","Предохранитель плоский Mini 25А ""VETTLER""","шт","6.00","","0.00"
"30А","Предохранитель плоский Mini 30А ""VETTLER""","шт","6.00","","0.00"
"5А","Предохранитель плоский Mini 5А ""VETTLER""","шт","6.00","","0.00"
"7.5А","Предохранитель плоский Mini 7,5А ""VETTLER""","шт","6.00","","0.00"
